Fecha,Producto,Categoría,Precio (€),Cantidad vendida,Método de pago,Cliente nuevo (Sí/No)
2025-02-21,Disco SSD,Almacenamiento,120,7,Tarjeta,Sí
2025-02-21,Disco SSD,Almacenamiento,120,4,Tarjeta,No
2025-02-02,Auriculares Pro,Audio,80,8,Financiación,No
2025-02-01,Auriculares Pro,Audio,80,6,Tarjeta,Sí
2025-02-28,Impresora Jet,Impresión,250,3,Tarjeta,No
2025-02-03,Mousepad XXL,Periféricos,15,5,PayPal,Sí
2025-02-18,Webcam 4K,Periféricos,100,4,Financiación,No
2025-02-09,Impresora Jet,Impresión,250,5,Tarjeta,No
2025-02-12,Webcam 4K,Periféricos,100,8,Tarjeta,No
2025-02-18,"Laptop 15""",Portátiles,900,8,PayPal,No
2025-02-10,Silla Gamer,Muebles,200,4,Tarjeta,No
2025-02-12,Impresora Jet,Impresión,250,2,Tarjeta,No
2025-02-14,Disco SSD,Almacenamiento,120,7,PayPal,No
2025-02-16,Auriculares Pro,Audio,80,2,PayPal,No
2025-02-28,Mousepad XXL,Periféricos,15,9,Tarjeta,Sí
2025-02-07,Mousepad XXL,Periféricos,15,9,PayPal,Sí
2025-02-11,Disco SSD,Almacenamiento,120,3,PayPal,No
2025-02-27,Teclado XYZ,Periféricos,30,5,Financiación,No
2025-02-09,Webcam 4K,Periféricos,100,8,Tarjeta,Sí
2025-02-23,Webcam 4K,Periféricos,100,8,PayPal,No
2025-02-27,Silla Gamer,Muebles,200,3,Tarjeta,Sí
2025-02-01,Monitor HD,Pantallas,150,5,PayPal,No
2025-02-27,Webcam 4K,Periféricos,100,9,PayPal,Sí
2025-02-07,Monitor HD,Pantallas,150,1,Tarjeta,No
2025-02-23,Auriculares Pro,Audio,80,7,Tarjeta,No
2025-02-13,"Laptop 15""",Portátiles,900,7,Tarjeta,Sí
2025-02-10,Ratón ABC,Periféricos,20,9,Tarjeta,No
2025-02-11,"Laptop 15""",Portátiles,900,7,Financiación,No
2025-02-01,Teclado XYZ,Periféricos,30,9,PayPal,Sí
2025-02-03,Mousepad XXL,Periféricos,15,7,Tarjeta,No
2025-02-01,Auriculares Pro,Audio,80,3,Tarjeta,No
2025-02-24,Silla Gamer,Muebles,200,9,Tarjeta,Sí
2025-02-20,Impresora Jet,Impresión,250,7,Tarjeta,No
2025-02-24,Teclado XYZ,Periféricos,30,1,Tarjeta,No
2025-02-23,Silla Gamer,Muebles,200,5,Tarjeta,No
2025-02-21,Ratón ABC,Periféricos,20,6,Tarjeta,No
2025-02-27,Disco SSD,Almacenamiento,120,1,PayPal,No
2025-02-02,"Laptop 15""",Portátiles,900,6,Tarjeta,No
2025-02-09,Teclado XYZ,Periféricos,30,6,PayPal,No
2025-02-19,"Laptop 15""",Portátiles,900,3,Financiación,No
2025-02-20,Webcam 4K,Periféricos,100,9,PayPal,No
2025-02-08,Ratón ABC,Periféricos,20,1,PayPal,No
2025-02-23,Ratón ABC,Periféricos,20,3,Tarjeta,Sí
2025-02-20,Mousepad XXL,Periféricos,15,1,Tarjeta,Sí
2025-02-05,Auriculares Pro,Audio,80,7,Tarjeta,No
2025-02-20,Monitor HD,Pantallas,150,8,Tarjeta,No
2025-02-11,"Laptop 15""",Portátiles,900,1,Tarjeta,No
2025-02-03,"Laptop 15""",Portátiles,900,9,PayPal,Sí
2025-02-02,Ratón ABC,Periféricos,20,6,Tarjeta,No
2025-02-01,"Laptop 15""",Portátiles,900,4,Tarjeta,No
2025-02-24,"Laptop 15""",Portátiles,900,8,Financiación,No
2025-02-16,Teclado XYZ,Periféricos,30,3,PayPal,No
2025-02-06,Silla Gamer,Muebles,200,3,Financiación,No
2025-02-21,Ratón ABC,Periféricos,20,1,PayPal,No
2025-02-28,Auriculares Pro,Audio,80,3,PayPal,No
2025-02-12,Teclado XYZ,Periféricos,30,5,Financiación,No
2025-02-24,Auriculares Pro,Audio,80,1,PayPal,No
2025-02-20,Teclado XYZ,Periféricos,30,5,Tarjeta,No
2025-02-18,Monitor HD,Pantallas,150,9,Tarjeta,No
2025-02-08,Monitor HD,Pantallas,150,8,Tarjeta,No
2025-02-02,Webcam 4K,Periféricos,100,2,Tarjeta,No
2025-02-11,Mousepad XXL,Periféricos,15,6,Tarjeta,No
2025-02-26,Webcam 4K,Periféricos,100,3,Tarjeta,No
2025-02-07,Impresora Jet,Impresión,250,9,PayPal,Sí
2025-02-14,Disco SSD,Almacenamiento,120,3,Tarjeta,No
2025-02-23,Ratón ABC,Periféricos,20,6,Tarjeta,Sí
2025-02-26,Silla Gamer,Muebles,200,6,Tarjeta,Sí
2025-02-11,Silla Gamer,Muebles,200,5,PayPal,No
2025-02-07,Auriculares Pro,Audio,80,4,Financiación,Sí
2025-02-23,Monitor HD,Pantallas,150,8,PayPal,No
